Date,Open,High,Low,Close,Adj Close,Volume
"May 24, 2022",110.41,111.43,108.61,109.77,109.77,"2,24,794"
"May 23, 2022",110.56,111.96,109.15,110.29,110.29,"2,15,623"
"May 20, 2022",111.45,114.04,110.85,113.23,113.23,"2,29,930"
"May 19, 2022",109.09,112.62,105.13,112.21,112.21,"68,511"
"May 18, 2022",113.66,115.42,108.46,109.59,109.59,"1,03,669"
"May 17, 2022",113.87,115.56,111.75,112.4,112.4,"2,52,630"
"May 16, 2022",110.98,114.9,108.11,114.2,114.2,"2,89,127"
"May 13, 2022",106.65,110.64,106.29,110.49,110.49,"2,40,989"
"May 12, 2022",105.63,107.37,102.66,106.13,106.13,"3,23,547"
"May 11, 2022",99,106.44,98.2,105.71,105.71,"3,82,701"
"May 10, 2022",102.65,104.16,98.86,99.76,99.76,"3,89,750"
"May 09, 2022",110.43,110.49,102.13,103.09,103.09,"3,68,183"
"May 06, 2022",108.7,111.18,107.24,109.77,109.77,"2,94,278"
"May 05, 2022",107.58,111.37,106.45,108.26,108.26,"2,86,916"
"May 04, 2022",103.5,108.61,102.95,107.81,107.81,"2,72,909"
"May 03, 2022",105.08,105.8,102.1,102.41,102.41,"2,39,266"
"May 02, 2022",104,105.94,100.28,105.17,105.17,"2,61,878"
"Apr 29, 2022",105.17,107.99,103.78,104.69,104.69,"2,94,386"
"Apr 28, 2022",102.11,105.68,100.13,105.36,105.36,"3,12,064"
"Apr 27, 2022",101.76,102.99,99.8,102.02,102.02,"2,78,781"
"Apr 26, 2022",98.64,102.78,97.06,101.7,101.7,"3,51,850"
"Apr 25, 2022",101.38,101.55,95.28,98.54,98.54,"3,28,153"
"Apr 22, 2022",104.07,104.22,101.06,102.07,102.07,"2,46,116"
"Apr 21, 2022",102.5,105.42,102.01,103.79,103.79,"2,80,321"
"Apr 20, 2022",103.05,104.16,100.7,102.75,102.75,"2,99,028"
"Apr 19, 2022",107.75,108.92,102.1,102.56,102.56,"71,792"
"Apr 18, 2022",107.03,109.81,106,108.21,108.21,"68,489"
"Apr 14, 2022",104.2,107.64,102.12,106.95,106.95,"2,44,952"
"Apr 13, 2022",100.91,104.47,99.87,104.25,104.25,"3,12,502"
"Apr 12, 2022",95.17,101.35,94.84,100.6,100.6,"3,29,037"
"Apr 11, 2022",98.4,98.52,92.93,94.29,94.29,"3,15,873"
"Apr 08, 2022",97.17,98.76,95.29,98.26,98.26,"3,10,082"
"Apr 07, 2022",97.16,98.82,93.81,96.03,96.03,"3,67,318"
"Apr 06, 2022",101.24,104.02,95.73,96.23,96.23,"3,66,036"
"Apr 05, 2022",103.66,105.59,99.88,101.96,101.96,"2,80,283"
"Apr 04, 2022",98.95,103.94,98.05,103.28,103.28,"2,88,131"
"Apr 01, 2022",101.23,101.75,97.78,99.27,99.27,"3,24,777"
"Mar 31, 2022",107.45,107.8,99.66,100.28,100.28,"4,50,845"
"Mar 30, 2022",105.24,108.75,104.55,107.82,107.82,"2,84,544"
"Mar 29, 2022",103.47,107.84,98.44,104.24,104.24,"3,87,200"
"Mar 28, 2022",112.92,112.93,102.83,105.96,105.96,"3,72,251"
"Mar 25, 2022",111.75,114.12,108.68,113.9,113.9,"3,20,304"
"Mar 24, 2022",114.47,116.64,110.61,112.34,112.34,"3,07,238"
"Mar 23, 2022",108.85,115.4,108.38,114.93,114.93,"2,89,182"
"Mar 22, 2022",112.9,115.01,109.3,111.76,111.76,"3,18,629"
"Mar 21, 2022",105.13,112.69,104.08,112.12,112.12,"77,217"
"Mar 18, 2022",103.62,106.28,102.3,104.7,104.7,"74,247"
"Mar 17, 2022",95.34,104.24,94.85,102.98,102.98,"2,10,763"
"Mar 16, 2022",95.23,99.22,94.07,95.04,95.04,"2,93,947"
"Mar 15, 2022",102.28,102.58,93.53,96.44,96.44,"4,01,690"
"Mar 14, 2022",109.42,109.72,99.76,103.01,103.01,"3,44,184"
"Mar 11, 2022",105.99,110.29,104.48,109.33,109.33,"3,68,194"
"Mar 10, 2022",110.41,114.88,105.53,106.02,106.02,"4,37,924"
"Mar 09, 2022",124.66,126.84,103.63,108.7,108.7,"5,94,773"
"Mar 08, 2022",120.67,129.44,117.07,123.7,123.7,"5,83,106"
"Mar 07, 2022",121.33,130.5,115.54,119.4,119.4,"5,76,022"
"Mar 04, 2022",107.96,116.02,107.25,115.68,115.68,"4,93,875"
"Mar 03, 2022",111.33,116.57,106.43,107.67,107.67,"5,92,031"
"Mar 02, 2022",107.12,112.51,105.18,110.6,110.6,"6,51,853"
"Mar 01, 2022",96.09,106.78,95.32,103.41,103.41,"6,98,814"
"Feb 28, 2022",94.99,99.1,94.43,95.72,95.72,"4,90,796"
"Feb 25, 2022",93.32,95.64,90.06,91.59,91.59,"5,23,793"
"Feb 24, 2022",92.52,100.54,91.45,92.81,92.81,"8,72,244"
"Feb 23, 2022",91.74,93.9,90.64,92.1,92.1,"4,40,574"
"Feb 22, 2022",91.75,96,90.35,92.35,92.35,"7,89,041"
"Feb 18, 2022",91.63,92.66,89.03,91.07,91.07,"1,50,382"
"Feb 17, 2022",90.9,93.36,90.62,91.76,91.76,"2,12,552"
"Feb 16, 2022",92.21,95.01,90,93.66,93.66,"4,01,453"
"Feb 15, 2022",94.83,95.17,90.66,92.07,92.07,"4,42,641"
"Feb 14, 2022",93.91,95.82,92.09,95.46,95.46,"4,67,071"
"Feb 11, 2022",90,94.66,89.19,93.1,93.1,"5,54,423"
"Feb 10, 2022",90.01,91.74,89.03,89.88,89.88,"4,92,091"
"Feb 09, 2022",89.86,90.58,88.41,89.66,89.66,"4,45,618"
"Feb 08, 2022",91.64,91.68,88.51,89.36,89.36,"4,67,386"
"Feb 07, 2022",91.82,92.73,90.73,91.32,91.32,"4,97,754"
"Feb 04, 2022",90.19,93.17,90.07,92.31,92.31,"4,10,926"
"Feb 03, 2022",87.98,90.45,86.75,90.27,90.27,"4,65,771"
"Feb 02, 2022",88.35,89.72,87.1,88.26,88.26,"4,56,863"
"Feb 01, 2022",88.15,88.87,86.55,88.2,88.2,"3,76,841"
"Jan 31, 2022",87.45,88.39,86.34,88.15,88.15,"3,59,080"
"Jan 28, 2022",87.5,88.84,86.44,86.82,86.82,"4,36,172"
"Jan 27, 2022",87.15,88.54,86.2,86.61,86.61,"4,27,804"
"Jan 26, 2022",85.26,87.95,85.01,87.35,87.35,"4,59,642"
"Jan 25, 2022",84.15,85.71,82.99,85.6,85.6,"5,07,219"
"Jan 24, 2022",84.91,86.09,81.9,83.31,83.31,"5,11,695"
"Jan 21, 2022",84.57,85.56,82.78,85.14,85.14,"5,09,103"
"Jan 20, 2022",86.23,87.82,86,86.9,86.9,"5,32,202"
"Jan 19, 2022",86.61,87.91,85.77,86.96,86.96,"1,13,153"
"Jan 18, 2022",84.32,86.63,83.5,85.43,85.43,"1,63,643"
"Jan 14, 2022",81.73,84.45,81.58,83.82,83.82,"3,64,442"
"Jan 13, 2022",82.82,82.94,81.39,82.12,82.12,"3,64,769"
"Jan 12, 2022",81.38,83.1,81.17,82.64,82.64,"4,20,619"
"Jan 11, 2022",78.42,81.59,78.36,81.22,81.22,"4,81,815"
"Jan 10, 2022",78.88,79.45,77.83,78.23,78.23,"3,89,956"
"Jan 07, 2022",79.62,80.47,78.52,78.9,78.9,"4,14,434"
"Jan 06, 2022",77.24,80.24,76.73,79.46,79.46,"4,76,665"
"Jan 05, 2022",77.18,78.58,76.51,77.85,77.85,"3,97,898"
"Jan 04, 2022",76.02,77.64,75.7,76.99,76.99,"3,72,848"
"Jan 03, 2022",75.69,76.46,74.27,76.08,76.08,"3,17,628"
"Dec 31, 2021",76.66,77.08,74.95,75.21,75.21,"2,37,118"
"Dec 30, 2021",76.58,77.44,75.78,76.99,76.99,"2,31,163"
"Dec 29, 2021",76.04,77.37,75.36,76.56,76.56,"2,83,557"
"Dec 28, 2021",75.97,76.92,75.53,75.98,75.98,"2,49,728"
"Dec 27, 2021",73.38,76.09,72.57,75.57,75.57,"2,68,490"
"Dec 23, 2021",73.03,73.95,72.27,73.79,73.79,"2,70,223"
"Dec 22, 2021",71.27,73.16,70.8,72.76,72.76,"3,06,709"
"Dec 21, 2021",69.21,71.55,68.56,71.12,71.12,"3,58,779"
"Dec 20, 2021",70.07,70.07,66.04,68.23,68.23,"4,92,217"
"Dec 17, 2021",71.92,72.26,69.89,70.86,70.86,"78,125"
"Dec 16, 2021",71.48,72.99,71.03,72.38,72.38,"1,42,541"
"Dec 15, 2021",70.35,71.66,69.39,70.87,70.87,"2,94,337"
"Dec 14, 2021",71.12,72.03,69.51,70.73,70.73,"3,59,454"
"Dec 13, 2021",72.04,73,70.71,71.29,71.29,"4,06,604"
"Dec 10, 2021",70.68,72.33,70.32,71.67,71.67,"3,97,883"
"Dec 09, 2021",72.52,73.34,70.39,70.94,70.94,"3,93,205"
"Dec 08, 2021",71.86,73,70.91,72.36,72.36,"4,64,846"
"Dec 07, 2021",69.72,73.03,69.52,72.05,72.05,"4,96,528"
"Dec 06, 2021",67.02,70.15,66.72,69.49,69.49,"4,01,060"
"Dec 03, 2021",67.5,69.22,65.6,66.26,66.26,"4,49,974"
"Dec 02, 2021",65.63,67.49,62.43,66.5,66.5,"6,68,293"
"Dec 01, 2021",67.01,69.49,64.84,65.57,65.57,"6,02,447"
"Nov 30, 2021",70.04,71.22,64.43,66.18,66.18,"7,22,475"
"Nov 29, 2021",69.23,72.93,68.86,69.95,69.95,"6,75,090"
"Nov 26, 2021",78.34,78.65,67.4,68.15,68.15,"8,44,630"
"Nov 25, 2021",78.34,78.65,77.76,78.03,78.03,"3,28,848"
"Nov 24, 2021",78.48,79.23,77.98,78.39,78.39,"3,28,848"
"Nov 23, 2021",76.46,78.86,75.3,78.5,78.5,"5,06,987"
"Nov 22, 2021",75.75,77.16,74.76,76.75,76.75,"4,65,768"
"Nov 19, 2021",78.76,79.92,75.37,76.1,76.1,"6,23,448"
"Nov 18, 2021",78.34,79.36,77.08,79.01,79.01,"83,984"
"Nov 17, 2021",80.54,80.69,77.69,78.36,78.36,"1,74,471"
"Nov 16, 2021",80.93,81.81,80.03,80.76,80.76,"3,25,668"
"Nov 15, 2021",80.66,81.2,79.3,80.88,80.88,"3,43,484"
"Nov 12, 2021",81.21,81.62,79.78,80.79,80.79,"3,90,304"
"Nov 11, 2021",81.41,82.33,80.2,81.59,81.59,"4,75,436"
"Nov 10, 2021",84.53,84.97,80.81,81.34,81.34,"5,55,215"
"Nov 09, 2021",82.16,84.63,81.78,84.15,84.15,"5,04,832"
"Nov 08, 2021",81.13,82.67,81.05,81.93,81.93,"3,93,953"
"Nov 05, 2021",79.37,81.8,78.96,81.27,81.27,"5,31,054"
"Nov 04, 2021",80.18,83.42,78.25,78.81,78.81,"7,01,119"
"Nov 03, 2021",83.07,83.08,79.69,80.86,80.86,"5,46,577"
"Nov 02, 2021",83.87,84.41,82.92,83.91,83.91,"4,29,608"
"Nov 01, 2021",83.36,84.88,82.74,84.05,84.05,"4,12,309"
"Oct 29, 2021",83.09,83.74,81.41,83.57,83.57,"5,07,309"
"Oct 28, 2021",82.25,83.21,80.58,82.81,82.81,"4,91,585"
"Oct 27, 2021",84.39,84.51,82.01,82.66,82.66,"5,29,952"
"Oct 26, 2021",83.72,84.88,82.97,84.65,84.65,"4,67,716"
"Oct 25, 2021",83.98,85.41,83.39,83.76,83.76,"5,68,725"
"Oct 22, 2021",82.61,84.22,81.76,83.76,83.76,"4,65,355"
"Oct 21, 2021",83.58,83.96,80.79,82.5,82.5,"5,67,503"
"Oct 20, 2021",83.34,84.25,81.3,83.87,83.87,"5,30,693"
"Oct 19, 2021",82.37,83.74,81.8,82.96,82.96,"82,607"
"Oct 18, 2021",82.6,83.87,81.84,82.44,82.44,"1,34,098"
"Oct 15, 2021",81.48,82.66,81.39,82.28,82.28,"2,77,953"
"Oct 14, 2021",80.59,81.68,80.38,81.31,81.31,"3,99,813"
"Oct 13, 2021",80.58,81.04,79.42,80.44,80.44,"4,87,220"
"Oct 12, 2021",80.5,81.62,79.47,80.64,80.64,"5,98,181"
"Oct 11, 2021",79.59,82.18,79.55,80.52,80.52,"6,53,756"
"Oct 08, 2021",78.86,80.11,78.63,79.35,79.35,"6,62,010"
"Oct 07, 2021",77,78.89,74.96,78.3,78.3,"5,45,008"
"Oct 06, 2021",79.04,79.78,76.83,77.43,77.43,"4,59,055"
"Oct 05, 2021",77.58,79.48,77.47,78.93,78.93,"4,49,617"
"Oct 04, 2021",75.9,78.38,75.32,77.62,77.62,"4,58,006"
"Oct 01, 2021",75.12,75.99,74.23,75.88,75.88,"3,88,996"
"Sep 30, 2021",74.78,76.07,73.14,75.03,75.03,"5,83,189"
"Sep 29, 2021",74.38,75.79,73.74,74.83,74.83,"4,24,193"
"Sep 28, 2021",75.43,76.67,74.24,75.29,75.29,"4,76,143"
"Sep 27, 2021",74.19,75.75,74.16,75.45,75.45,"4,17,829"
"Sep 24, 2021",73.24,74.27,72.81,73.98,73.98,"3,50,382"
"Sep 23, 2021",71.97,73.5,71.61,73.3,73.3,"4,03,405"
"Sep 22, 2021",70.85,72.3,70.64,72.23,72.23,"3,81,061"
"Sep 21, 2021",70.59,71.63,69.67,70.56,70.56,"3,93,403"
"Sep 20, 2021",71.92,72.08,69.86,70.29,70.29,"75,837"
"Sep 17, 2021",72.62,72.72,71.21,71.97,71.97,"1,19,933"
"Sep 16, 2021",72.65,72.99,71.53,72.61,72.61,"2,98,412"
"Sep 15, 2021",70.76,73.14,70.65,72.61,72.61,"4,18,665"
"Sep 14, 2021",70.64,71.22,69.98,70.46,70.46,"4,14,231"
"Sep 13, 2021",69.74,70.97,69.51,70.45,70.45,"3,90,939"
"Sep 10, 2021",67.97,69.96,67.68,69.72,69.72,"4,11,079"
"Sep 09, 2021",69.36,69.89,67.56,68.14,68.14,"5,56,451"
"Sep 08, 2021",68.37,69.75,68.31,69.3,69.3,"3,89,325"
"Sep 07, 2021",69.11,69.48,67.64,68.35,68.35,"4,81,704"
"Sep 03, 2021",69.76,70.53,69.05,69.29,69.29,"3,13,086"
"Sep 02, 2021",68.29,70.61,67.84,69.99,69.99,"4,03,314"
"Sep 01, 2021",68.55,69.24,67.12,68.59,68.59,"3,99,497"
"Aug 31, 2021",69.18,69.34,68.16,68.5,68.5,"3,25,853"
"Aug 30, 2021",69.3,69.64,67.67,69.21,69.21,"3,60,797"
"Aug 27, 2021",67.75,69.05,67.52,68.74,68.74,"3,26,056"
"Aug 26, 2021",68,68.31,67.02,67.42,67.42,"3,44,286"
"Aug 25, 2021",67.63,68.54,66.92,68.36,68.36,"3,53,742"
"Aug 24, 2021",65.54,67.8,65.41,67.54,67.54,"3,35,888"
"Aug 23, 2021",61.96,66,61.74,65.64,65.64,"3,97,290"
"Aug 20, 2021",64.05,64.1,62.11,62.32,62.32,"3,65,009"
"Aug 19, 2021",64.58,64.76,62.63,63.69,63.69,"88,237"
"Aug 18, 2021",66.58,67.48,64.34,65.46,65.46,"1,21,197"
"Aug 17, 2021",67.43,67.72,66.33,66.59,66.59,"2,35,303"
"Aug 16, 2021",68.13,68.14,65.73,67.29,67.29,"3,34,844"
"Aug 13, 2021",68.91,69.22,67.77,68.44,68.44,"2,72,033"
"Aug 12, 2021",69.36,69.62,68.46,69.09,69.09,"3,52,465"
"Aug 11, 2021",68.51,69.45,66.67,69.25,69.25,"5,13,292"
"Aug 10, 2021",66.85,68.9,66.56,68.29,68.29,"4,52,126"
"Aug 09, 2021",67.88,67.9,65.15,66.48,66.48,"5,98,381"
"Aug 06, 2021",69.14,70.18,67.8,68.28,68.28,"5,37,136"
"Aug 05, 2021",68.06,69.35,67.61,69.09,69.09,"4,16,331"
"Aug 04, 2021",70.32,70.81,67.85,68.15,68.15,"5,82,924"
"Aug 03, 2021",71.52,71.96,69.19,70.56,70.56,"5,09,938"
"Aug 02, 2021",73.91,73.95,70.55,71.26,71.26,"4,48,200"
